,labels,outlier
0,2,0
1,1,0
2,0,0
3,1,0
4,0,0
5,3,0
6,0,0
7,4,0
8,4,0
9,1,0
10,3,0
11,1,0
12,4,0
13,3,0
14,1,0
15,4,0
16,4,0
17,0,0
18,0,0
19,1,0
20,3,0
21,0,0
22,0,0
23,3,0
24,0,0
25,4,0
26,3,0
27,4,0
28,2,0
29,4,0
30,0,0
31,4,0
32,4,0
33,4,0
34,1,0
35,1,0
36,4,0
37,2,0
38,2,0
39,2,0
40,1,0
41,1,0
42,0,0
43,1,0
44,3,0
45,1,0
46,0,0
47,3,0
48,0,0
49,3,0
50,0,0
51,4,0
52,0,0
53,3,0
54,4,0
55,3,0
56,1,0
57,4,0
58,1,0
59,4,0
60,4,0
61,4,0
62,0,0
63,4,0
64,1,0
65,4,0
66,2,0
67,0,0
68,3,0
69,2,0
70,4,0
71,0,0
72,4,0
73,2,0
74,0,0
75,1,0
76,4,0
77,3,0
78,0,0
79,1,0
80,3,0
81,2,0
82,2,0
83,4,0
84,0,0
85,4,0
86,0,0
87,2,0
88,2,0
89,1,0
90,4,0
91,2,0
92,1,0
93,4,0
94,2,0
95,3,0
96,1,0
97,1,0
98,0,0
99,4,0
100,3,0
101,4,0
102,1,0
103,4,0
104,0,0
105,0,0
106,0,0
107,1,0
108,4,0
109,2,0
110,0,0
111,4,0
112,1,0
113,1,0
114,4,0
115,0,0
116,4,0
117,1,0
118,1,0
119,3,0
120,2,0
121,3,0
122,3,0
123,0,0
124,4,0
125,2,0
126,3,0
127,3,0
128,2,0
129,0,0
130,3,0
131,3,0
132,3,0
133,0,0
134,4,0
135,1,0
136,0,0
137,1,0
138,2,0
139,3,0
140,1,0
141,2,0
142,4,0
143,1,0
144,2,0
145,2,0
146,2,0
147,2,0
148,4,0
149,2,0
150,1,0
151,3,0
152,0,0
153,3,0
154,3,0
155,3,0
156,0,0
157,4,0
158,0,0
159,1,0
160,1,0
161,1,0
162,2,0
163,3,0
164,4,0
165,3,0
166,3,0
167,2,0
168,2,0
169,1,0
170,0,0
171,1,0
172,3,0
173,0,1
174,0,0
175,2,0
176,2,0
177,2,0
178,2,0
179,1,0
180,2,0
181,3,0
182,0,0
183,1,0
184,0,0
185,1,0
186,3,0
187,3,0
188,1,0
189,2,0
190,3,0
191,1,0
192,0,0
193,3,0
194,0,0
195,0,0
196,0,0
197,1,0
198,0,0
199,4,0
200,3,0
201,4,0
202,0,0
203,4,0
204,0,0
205,1,0
206,3,0
207,0,0
208,1,0
209,1,0
210,2,0
211,0,0
212,4,0
213,2,0
214,2,0
215,4,0
216,0,0
217,2,0
218,0,0
219,0,0
220,2,0
221,0,0
222,1,0
223,4,0
224,4,0
225,3,0
226,0,0
227,2,0
228,1,0
229,4,0
230,2,0
231,3,0
232,4,0
233,2,0
234,4,0
235,0,0
236,0,0
237,4,0
238,0,0
239,1,0
240,0,0
241,3,0
242,1,0
243,3,0
244,4,0
245,4,0
246,4,0
247,1,0
248,0,0
249,1,0
250,1,0
251,4,0
252,0,0
253,3,0
254,3,0
255,3,0
256,0,0
257,4,0
258,2,0
259,4,0
260,1,0
261,2,0
262,3,0
263,3,0
264,2,0
265,0,0
266,2,0
267,4,0
268,3,0
269,0,0
270,0,0
271,0,0
272,1,0
273,0,0
274,2,0
275,4,0
276,1,0
277,1,0
278,3,0
279,1,0
280,1,0
281,0,0
282,4,0
283,0,0
284,0,0
285,1,0
286,2,0
287,2,0
288,2,0
289,4,0
290,1,0
291,3,0
292,1,0
293,3,0
294,3,0
295,3,0
296,3,0
297,1,0
298,3,0
299,3,0
300,4,0
301,0,0
302,2,0
303,3,0
304,3,0
305,2,0
306,0,0
307,0,0
308,4,0
309,1,0
310,1,0
311,0,0
312,0,0
313,2,0
314,3,0
315,3,0
316,0,0
317,0,0
318,0,0
319,1,0
320,2,0
321,3,0
322,3,0
323,0,0
324,4,0
325,1,0
326,2,0
327,3,0
328,4,0
329,2,0
330,3,0
331,4,0
332,2,0
333,4,0
334,2,0
335,2,0
336,0,0
337,1,0
338,4,0
339,2,0
340,4,0
341,1,0
342,4,0
343,4,0
344,2,0
345,1,0
346,0,0
347,2,0
348,3,0
349,1,0
350,0,0
351,3,0
352,1,0
353,0,0
354,1,0
355,3,0
356,0,0
357,0,0
358,1,0
359,1,0
360,1,0
361,0,0
362,0,0
363,4,0
364,1,0
365,1,0
366,2,0
367,3,0
368,3,0
369,4,0
370,2,0
371,0,0
372,2,0
373,2,0
374,0,0
375,1,0
376,4,0
377,0,0
378,2,0
379,1,0
380,0,0
381,0,0
382,2,0
383,4,0
384,4,0
385,4,0
386,3,0
387,2,0
388,3,0
389,0,0
390,4,0
391,1,0
392,2,0
393,2,0
394,3,0
395,1,0
396,0,0
397,0,0
398,4,0
399,1,0
400,0,0
401,2,0
402,2,0
403,2,0
404,1,0
405,3,0
406,2,0
407,1,0
408,2,0
409,0,0
410,1,0
411,3,0
412,0,0
413,1,0
414,3,0
415,3,0
416,0,0
417,3,0
418,1,0
419,2,0
420,1,0
421,3,0
422,3,0
423,2,0
424,0,0
425,1,0
426,0,0
427,0,0
428,1,0
429,0,0
430,1,0
431,2,0
432,1,0
433,2,0
434,2,0
435,4,0
436,3,0
437,2,0
438,0,0
439,1,0
440,3,0
441,0,0
442,2,0
443,2,0
444,4,0
445,0,0
446,4,0
447,1,0
448,0,0
449,2,0
450,4,0
451,1,0
452,0,0
453,2,0
454,4,0
455,3,0
456,4,0
457,2,0
458,4,0
459,4,0
460,4,0
461,3,0
462,1,0
463,3,0
464,2,0
465,3,0
466,2,0
467,1,0
468,0,0
469,1,0
470,0,0
471,0,0
472,3,0
473,2,0
474,4,0
475,2,0
476,2,0
477,3,0
478,3,0
479,0,0
480,4,0
481,0,0
482,4,0
483,3,0
484,2,0
485,0,0
486,0,0
487,2,0
488,2,0
489,4,0
490,0,0
491,4,0
492,3,0
493,3,0
494,1,0
495,1,0
496,0,0
497,1,0
498,3,0
499,1,0
500,4,0
501,3,0
502,4,0
503,0,0
504,2,0
505,0,0
506,3,0
507,3,0
508,1,0
509,1,0
510,1,0
511,0,0
512,3,0
513,3,0
514,1,0
515,3,0
516,3,0
517,4,0
518,0,0
519,3,0
520,4,0
521,4,0
522,4,0
523,0,0
524,2,0
525,3,0
526,2,0
527,4,0
528,4,0
529,4,0
530,3,0
531,2,0
532,2,0
533,1,0
534,1,0
535,0,0
536,1,0
537,4,0
538,3,0
539,2,0
540,1,0
541,1,0
542,1,0
543,1,0
544,1,0
545,1,0
546,1,0
547,0,0
548,0,0
549,0,0
550,2,0
551,4,0
552,1,0
553,0,0
554,2,0
555,3,0
556,3,0
557,0,0
558,4,0
559,3,0
560,2,0
561,4,0
562,2,0
563,0,0
564,3,0
565,1,0
566,1,0
567,1,0
568,3,0
569,3,0
570,4,0
571,4,0
572,1,0
573,0,0
574,2,0
575,2,0
576,2,0
577,0,0
578,2,0
579,1,0
580,1,0
581,3,0
582,3,0
583,4,0
584,3,0
585,4,0
586,3,0
587,1,0
588,0,0
589,0,0
590,3,0
591,0,0
592,0,0
593,2,0
594,0,0
595,0,0
596,0,0
597,4,0
598,1,0
599,2,0
600,4,0
601,2,0
602,0,0
603,0,0
604,4,0
605,1,0
606,0,1
607,3,0
608,0,0
609,2,0
610,2,0
611,4,0
612,3,0
613,2,0
614,3,0
615,0,0
616,4,0
617,1,0
618,2,0
619,0,0
620,3,0
621,2,0
622,0,0
623,2,0
624,4,0
625,2,0
626,3,0
627,4,0
628,3,0
629,3,0
630,1,0
631,3,0
632,1,0
633,2,0
634,0,0
635,2,0
636,3,0
637,3,0
638,1,0
639,4,0
640,2,0
641,3,0
642,4,0
643,1,0
644,2,0
645,0,0
646,3,0
647,3,0
648,0,0
649,4,0
650,4,0
651,3,0
652,0,0
653,0,0
654,4,0
655,2,0
656,4,0
657,1,0
658,4,0
659,0,0
660,0,0
661,4,0
662,3,0
663,0,0
664,0,0
